earthquake,2007103103,6
earthquake,2007103104,4
earthquake,2008022219,1
earthquake,2008032404,2
earthquake,2008041811,1
earthquake,2008072918,3
earthquake,2008072919,18
earthquake,2008073018,1
earthquake,2008090604,2
earthquake,2008090609,1
earthquake,2008101620,1
earthquake,2008102102,1
earthquake,2008111318,1
earthquake,2008111617,2
earthquake,2008111921,1
earthquake,2008112515,1
earthquake,2008120604,3
earthquake,2008120605,6
earthquake,2008120606,1
earthquake,2008120608,1
earthquake,2008121000,1
earthquake,2008121606,1
earthquake,2008121816,2
earthquake,2008122118,1
earthquake,2008122315,1
earthquake,2008122322,1
earthquake,2009010119,1
earthquake,2009010202,2
earthquake,2009010320,6
earthquake,2009010321,1
earthquake,2009010323,1
earthquake,2009010423,4
earthquake,2009010502,2
earthquake,2009010616,1
earthquake,2009010709,1
earthquake,2009010820,4
earthquake,2009010821,2
earthquake,2009010903,12
earthquake,2009010904,70
earthquake,2009010905,3
earthquake,2009010916,1
earthquake,2009011104,1
earthquake,2009011621,1
earthquake,2009011812,1
earthquake,2009011900,1
earthquake,2009011903,1
earthquake,2009011922,1
earthquake,2009012008,1
earthquake,2009012017,1
earthquake,2009012101,1
earthquake,2009012102,1
earthquake,2009012204,1
earthquake,2009012206,1
earthquake,2009012208,1
earthquake,2009012220,1
earthquake,2009012221,1
earthquake,2009012223,1
earthquake,2009012301,1
earthquake,2009012304,1
earthquake,2009012314,1
earthquake,2009012315,1
earthquake,2009012403,4
earthquake,2009012404,1
earthquake,2009013013,1
earthquake,2009013014,1
earthquake,2009013016,3
earthquake,2009013017,5
earthquake,2009013019,2
earthquake,2009013021,1
earthquake,2009013122,1
earthquake,2009020202,1
earthquake,2009020304,1
earthquake,2009020305,1
earthquake,2009020417,1
earthquake,2009020922,1
earthquake,2009021117,4
earthquake,2009021118,11
earthquake,2009021119,1
earthquake,2009021214,1
earthquake,2009021418,1
earthquake,2009021616,1
earthquake,2009021822,1
earthquake,2009021922,1
earthquake,2009022114,1
earthquake,2009022119,3
earthquake,2009022418,1
earthquake,2009022622,1
earthquake,2009022720,2
earthquake,2009022814,1
earthquake,2009022815,2
earthquake,2009030201,1
earthquake,2009030212,1
earthquake,2009030302,1
earthquake,2009030305,1
earthquake,2009030307,1
earthquake,2009030308,1
earthquake,2009030310,1
earthquake,2009030313,1
earthquake,2009030314,1
earthquake,2009030316,1
earthquake,2009030321,1
earthquake,2009030401,1
earthquake,2009030405,5
earthquake,2009030406,3
earthquake,2009030412,1
earthquake,2009030415,1
earthquake,2009030419,1
earthquake,2009030421,1
earthquake,2009030503,1
earthquake,2009030506,1
earthquake,2009030519,1
earthquake,2009030523,1
earthquake,2009030609,7
earthquake,2009030610,123
earthquake,2009030611,38
earthquake,2009030612,2
earthquake,2009030613,6
earthquake,2009030614,3
earthquake,2009030622,2
earthquake,2009030704,1
earthquake,2009030708,1
earthquake,2009030717,1
earthquake,2009030805,1
earthquake,2009030813,2
earthquake,2009030814,1
earthquake,2009030815,1
earthquake,2009030822,1
earthquake,2009030916,1
earthquake,2009030918,1
earthquake,2009031001,1
earthquake,2009031023,1
earthquake,2009031113,2
earthquake,2009031116,1
earthquake,2009031121,1
earthquake,2009031300,1
earthquake,2009031506,1
earthquake,2009031607,1
earthquake,2009031623,1
earthquake,2009031718,1
earthquake,2009031802,1
earthquake,2009031805,132
earthquake,2009031806,117
earthquake,2009031807,21
earthquake,2009031808,10
earthquake,2009031809,5
earthquake,2009031810,3
earthquake,2009031811,4
earthquake,2009031812,1
earthquake,2009031813,5
earthquake,2009031815,1
earthquake,2009031820,2
earthquake,2009031822,1
earthquake,2009031823,1
earthquake,2009031900,1
earthquake,2009031904,1
earthquake,2009031906,1
earthquake,2009031907,1
earthquake,2009031918,2
earthquake,2009031919,6
earthquake,2009031920,1
earthquake,2009031921,1
earthquake,2009032003,1
earthquake,2009032100,1
earthquake,2009032417,2
earthquake,2009032701,1
earthquake,2009033006,1
earthquake,2009033007,1
earthquake,2009033017,37
earthquake,2009033018,58
earthquake,2009033019,10
earthquake,2009033020,5
earthquake,2009033021,2
earthquake,2009033022,2
earthquake,2009033023,1
earthquake,2009033105,1
earthquake,2009033114,1
earthquake,2009040107,1
earthquake,2009040108,1
earthquake,2009040520,1
earthquake,2009040521,1
earthquake,2009040601,2
earthquake,2009040602,25
earthquake,2009040603,19
earthquake,2009040604,10
earthquake,2009040605,35
earthquake,2009040606,18
earthquake,2009040607,22
earthquake,2009040608,11
earthquake,2009040609,8
earthquake,2009040610,11
earthquake,2009040611,8
earthquake,2009040612,18
earthquake,2009040613,15
earthquake,2009040614,9
earthquake,2009040615,6
earthquake,2009040616,3
earthquake,2009040617,3
earthquake,2009040618,2
earthquake,2009040619,6
earthquake,2009040620,1
earthquake,2009040621,7
earthquake,2009040622,3
earthquake,2009040623,2
earthquake,2009040700,2
earthquake,2009040701,2
earthquake,2009040702,2
earthquake,2009040703,1
earthquake,2009040705,2
earthquake,2009040706,1
earthquake,2009040707,1
earthquake,2009040708,8
earthquake,2009040709,3
earthquake,2009040710,2
earthquake,2009040711,2
earthquake,2009040712,2
